Country Name,Avg.Life_expectancy,Gender
Poland,73.233,2
Poland,80.796,3
Montenegro,76.845,1
Montenegro,73.48,2
Montenegro,80.262,3
Albania,76.833,1
Albania,74.502,2
Albania,79.472,3
Panama,76.826,1
Panama,73.726,2
Panama,80.091,3
Curacao,76.651,1
Curacao,72.698,2
Curacao,80.277,3
Sri Lanka,76.61,1
Sri Lanka,72.851,2
Sri Lanka,80.23,3
British Virgin Islands,76.373,1
British Virgin Islands,73.622,2
British Virgin Islands,79.256,3
Malaysia,76.26,1
Malaysia,73.955,2
Malaysia,78.799,3
Argentina,76.064,1
Argentina,72.851,2
Argentina,79.277,3
Latvia,75.927,1
Latvia,71.49,2
Latvia,80.088,3
Montserrat,75.849,1
Montserrat,74.52,2
Montserrat,77.541,3
Cayman Islands,75.555,1
Cayman Islands,73.234,2
Cayman Islands,78.124,3
Tokelau,75.38,1
Tokelau,74.424,2
Tokelau,76.198,3
Grenada,75.335,1
Grenada,72.588,2
Grenada,78.298,3
Slovakia,75.33,1
Slovakia,71.929,2
Slovakia,78.813,3
Bosnia and Herzegovina,75.293,1
Bosnia and Herzegovina,73.126,2
Bosnia and Herzegovina,77.498,3
Cook Islands,75.148,1
Cook Islands,71.445,2
Cook Islands,79.035,3
United States Virgin Islands,75.066,1
United States Virgin Islands,69.831,2
United States Virgin Islands,80.866,3
Mayotte,75.049,1
Mayotte,71.861,2
Mayotte,78.522,3
Aruba,74.992,1
Aruba,72.145,2
Aruba,77.681,3
Morocco,74.973,1
Morocco,72.896,2
Morocco,77.177,3
Hungary,74.958,1
Hungary,71.552,2
Hungary,78.309,3
Turks and Caicos Islands,74.925,1
Turks and Caicos Islands,72.165,2
Turks and Caicos Islands,77.986,3
Mexico,74.832,1
Mexico,71.547,2
Mexico,78.161,3
Cape Verde,74.722,1
Cape Verde,70.29,2
Cape Verde,79.011,3
Trinidad and Tobago,74.708,1
Trinidad and Tobago,71.307,2
Trinidad and Tobago,78.153,3
Nicaragua,74.615,1
Nicaragua,71.613,2
Nicaragua,77.556,3
Vietnam,74.58,1
Vietnam,69.927,2
Vietnam,79.29,3
Iran,74.556,1
Iran,71.93,2
Iran,77.453,3
Brunei,74.551,1
Brunei,72.509,2
Brunei,76.791,3
Lebanon,74.416,1
Lebanon,72.237,2
Lebanon,76.597,3
Sint Maarten,74.409,1
Sint Maarten,71.958,2
Sint Maarten,77.141,3
Bahamas,74.358,1
Bahamas,70.757,2
Bahamas,77.843,3
Lithuania,74.293,1
Lithuania,69.492,2
Lithuania,79.13,3
Tunisia,74.263,1
Tunisia,71.367,2
Tunisia,77.408,3
Jordan,74.215,1
Jordan,72.12,2
Jordan,76.675,3
Dominican Republic,74.17,1
Dominican Republic,71.044,2
Dominican Republic,77.536,3
Serbia,74.137,1
Serbia,71.276,2
Serbia,76.975,3
Romania,74.117,1
Romania,70.724,2
Romania,77.619,3
Mauritius,73.975,1
Mauritius,70.963,2
Mauritius,77.128,3
Oman,73.935,1
Oman,72.356,2
Oman,76.046,3
North Macedonia,73.888,1
North Macedonia,71.733,2
North Macedonia,76.16,3
Bangladesh,73.698,1
Bangladesh,71.514,2
Bangladesh,76.012,3
Colombia,73.659,1
Colombia,70.319,2
Colombia,77.143,3
North Korea,73.578,1
North Korea,70.973,2
North Korea,76.146,3
Azerbaijan,73.488,1
Azerbaijan,70.55,2
Azerbaijan,76.249,3
Palestine,73.444,1
Palestine,71.024,2
Palestine,75.948,3
Brazil,73.425,1
Brazil,70.296,2
Brazil,76.596,3
Peru,73.385,1
Peru,71.332,2
Peru,75.495,3
Armenia,73.372,1
Armenia,67.866,2
Armenia,78.447,3
Belarus,73.246,1
Belarus,68.09,2
Belarus,78.384,3
Dominica,72.981,1
Dominica,69.875,2
Dominica,76.451,3
American Samoa,72.723,1
American Samoa,70.004,2
American Samoa,75.541,3
Mongolia,72.667,1
Mongolia,68.079,2
Mongolia,77.375,3
Samoa,72.598,1
Samoa,70.146,2
Samoa,75.333,3
Greenland,72.582,1
Greenland,70.117,2
Greenland,75.95,3
Syria,72.3,1
Syria,68.671,2
Syria,76.117,3
Bhutan,72.229,1
Bhutan,70.57,2
Bhutan,74.152,3
Philippines,72.187,1
Philippines,70.218,2
Philippines,74.174,3
Libya,72.151,1
Libya,69.736,2
Libya,74.759,3
Saint Kitts and Nevis,72.027,1
Saint Kitts and Nevis,68.682,2
Saint Kitts and Nevis,75.666,3
Seychelles,71.738,1
Seychelles,68.237,2
Seychelles,76.042,3
Uzbekistan,71.674,1
Uzbekistan,69.032,2
Uzbekistan,74.293,3
Georgia,71.587,1
Georgia,66.76,2
Georgia,76.461,3
Bulgaria,71.528,1
Bulgaria,68.278,2
Bulgaria,75.08,3
El Salvador,71.475,1
El Salvador,66.837,2
El Salvador,75.813,3
Iraq,71.336,1
Iraq,69.162,2
Iraq,73.362,3
Saint Lucia,71.294,1
Saint Lucia,68.005,2
Saint Lucia,74.887,3
Tajikistan,71.288,1
Tajikistan,69.189,2
Tajikistan,73.518,3
Tonga,71.27,1
Tonga,68.581,2
Tonga,74.123,3
Niue,71.189,1
Niue,69.451,2
Niue,72.868,3
Venezuela,71.105,1
Venezuela,66.875,2
Venezuela,75.655,3
Western Sahara,70.976,1
Western Sahara,69.319,2
Western Sahara,73.097,3
Belize,70.962,1
Belize,67.721,2
Belize,74.685,3
Micronesia,70.925,1
Micronesia,67.325,2
Micronesia,74.823,3
Solomon Islands,70.742,1
Solomon Islands,69.294,2
Solomon Islands,72.358,3
Honduras,70.728,1
Honduras,68.461,2
Honduras,73.157,3
Jamaica,70.629,1
Jamaica,68.532,2
Jamaica,72.737,3
Vanuatu,70.492,1
Vanuatu,68.316,2
Vanuatu,73.067,3
Nepal,70.484,1
Nepal,68.608,2
Nepal,72.364,3
Kyrgyzstan,70.484,1
Kyrgyzstan,66.218,2
Kyrgyzstan,74.929,3
Paraguay,70.475,1
Paraguay,67.645,2
Paraguay,73.571,3
Egypt,70.159,1
Egypt,67.869,2
Egypt,72.557,3
Russia,70.116,1
Russia,64.689,2
Russia,75.702,3
Cambodia,69.896,1
Cambodia,67.117,2
Cambodia,72.622,3
Kazakhstan,69.489,1
Kazakhstan,65.776,2
Kazakhstan,72.995,3
Turkmenistan,69.41,1
Turkmenistan,65.916,2
Turkmenistan,72.916,3
Timor-Leste,69.056,1
Timor-Leste,67.435,2
Timor-Leste,70.815,3
Laos,68.999,1
Laos,66.94,2
Laos,71.164,3
Saint Vincent and the Grenadines,68.972,1
Saint Vincent and the Grenadines,66.693,2
Saint Vincent and the Grenadines,71.731,3
Sao Tome and Principe,68.794,1
Sao Tome and Principe,66.054,2
Sao Tome and Principe,71.938,3
Guatemala,68.674,1
Guatemala,65.697,2
Guatemala,71.754,3
Moldova,68.621,1
Moldova,64.217,2
Moldova,73.32,3
Ukraine,68.564,1
Ukraine,63.525,2
Ukraine,73.904,3
Fiji,68.312,1
Fiji,66.465,2
Fiji,70.239,3
Indonesia,68.25,1
Indonesia,66.181,2
Indonesia,70.437,3
Senegal,67.913,1
Senegal,65.473,2
Senegal,70.2,3
India,67.744,1
India,66.257,2
India,69.384,3
Kiribati,67.661,1
Kiribati,65.731,2
Kiribati,69.386,3
Myanmar,67.256,1
Myanmar,64.18,2
Myanmar,70.478,3
Rwanda,67.129,1
Rwanda,64.813,2
Rwanda,69.244,3
Tanzania,66.782,1
Tanzania,64.72,2
Tanzania,68.93,3
Eritrea,66.604,1
Eritrea,64.457,2
Eritrea,68.678,3
Pakistan,66.431,1
Pakistan,64.134,2
Pakistan,68.918,3
Guyana,65.989,1
Guyana,62.778,2
Guyana,69.399,3
Papua New Guinea,65.958,1
Papua New Guinea,63.378,2
Papua New Guinea,69.172,3
Botswana,65.913,1
Botswana,63.328,2
Botswana,68.399,3
Gabon,65.694,1
Gabon,63.361,2
Gabon,68.359,3
Ethiopia,65.645,1
Ethiopia,62.613,2
Ethiopia,68.903,3
Sudan,65.578,1
Sudan,63.048,2
Sudan,68.184,3
Palau,65.362,1
Palau,62.2,2
Palau,69.314,3
Madagascar,65.23,1
