Philippines,PHL,4.07676649
Palau,PLW,15.15048885
Papua New Guinea,PNG,2.30036092
Poland,POL,6.44682503
Pre-demographic dividend,PRE,3.939436178
Portugal,PRT,9.53145981
Paraguay,PRY,7.17281008
Pacific island small states,PSS,5.323419445
Post-demographic dividend,PST,12.95647817
Qatar,QAT,2.9106288
Romania,ROU,5.74447823
Russian Federation,RUS,5.64849138
Rwanda,RWA,6.41066742
South Asia,SAS,3.093990271
Saudi Arabia,SAU,5.68828773
Sudan,SDN,4.57356596
Senegal,SEN,4.13226938
Singapore,SGP,4.08152914
Solomon Islands,SLB,4.77362394
Sierra Leone,SLE,8.74976635
El Salvador,SLV,7.16578436
San Marino,SMR,6.39008522
Serbia,SRB,8.67206478
Sub-Saharan Africa (excluding high income),SSA,4.970353458
South Sudan,SSD,6.04213858
Sub-Saharan Africa,SSF,4.970561758
Small states,SST,4.964837441
Sao Tome and Principe,STP,5.52976227
Suriname,SUR,9.7369957
Slovak Republic,SVK,6.9586463
Slovenia,SVN,8.52386475
Sweden,SWE,10.86749268
Eswatini,SWZ,6.78069067
Seychelles,SYC,5.1902914
Chad,TCD,4.3536315
East Asia & Pacific (IDA & IBRD countries),TEA,5.070673343
Europe & Central Asia (IDA & IBRD countries),TEC,5.584975687
Togo,TGO,5.72606897
Thailand,THA,3.78912091
Tajikistan,TJK,7.10529375
Turkmenistan,TKM,6.56862497
Latin America & the Caribbean (IDA & IBRD countries),TLA,7.894988792
Timor-Leste,TLS,7.15850592
Middle East & North Africa (IDA & IBRD countries),TMN,5.73207866
Tonga,TON,4.98149967
South Asia (IDA & IBRD),TSA,3.093990271
Sub-Saharan Africa (IDA & IBRD countries),TSS,4.970561758
Trinidad and Tobago,TTO,7.02007389
Tunisia,TUN,6.95845938
Turkiye,TUR,4.34409809
Tuvalu,TUV,23.96181297
Tanzania,TZA,3.82769322
Uganda,UGA,3.82522416
Ukraine,UKR,7.09860182
Upper middle income,UMC,5.844705454
Uruguay,URY,9.34783173
United States of America,USA,16.76706314
Uzbekistan,UZB,5.61760426
St. Vincent and the Grenadines,VCT,4.75291252
"Venezuela, RB",VEN,5.36708355
Vietnam,VNM,5.24965572
Vanuatu,VUT,3.36034679
World,WLD,9.830784811
Samoa,WSM,6.36309385
South Africa,ZAF,9.10935497
Zambia,ZMB,5.31220293
Zimbabwe,ZWE,7.70356494
