Country Name,Gender,Lifeexp
Vietnam,2,70
Vietnam,3,79
Iran,1,75
Iran,2,72
Iran,3,77
Brunei,1,75
Brunei,2,73
Brunei,3,77
Lebanon,1,74
Lebanon,2,72
Lebanon,3,77
Sint Maarten,1,74
Sint Maarten,2,72
Sint Maarten,3,77
Bahamas,1,74
Bahamas,2,71
Bahamas,3,78
Lithuania,1,74
Lithuania,2,69
Lithuania,3,79
Tunisia,1,74
Tunisia,2,71
Tunisia,3,77
Jordan,1,74
Jordan,2,72
Jordan,3,77
Dominican Republic,1,74
Dominican Republic,2,71
Dominican Republic,3,78
Serbia,1,74
Serbia,2,71
Serbia,3,77
Romania,1,74
Romania,2,71
Romania,3,78
Mauritius,1,74
Mauritius,2,71
Mauritius,3,77
Oman,1,74
Oman,2,72
Oman,3,76
North Macedonia,1,74
North Macedonia,2,72
North Macedonia,3,76
Bangladesh,1,74
Bangladesh,2,72
Bangladesh,3,76
Colombia,1,74
Colombia,2,70
Colombia,3,77
North Korea,1,74
North Korea,2,71
North Korea,3,76
Azerbaijan,1,73
Azerbaijan,2,71
Azerbaijan,3,76
Palestine,1,73
Palestine,2,71
Palestine,3,76
Brazil,1,73
Brazil,2,70
Brazil,3,77
Peru,1,73
Peru,2,71
Peru,3,75
Armenia,1,73
Armenia,2,68
Armenia,3,78
Belarus,1,73
Belarus,2,68
Belarus,3,78
Dominica,1,73
Dominica,2,70
Dominica,3,76
American Samoa,1,73
American Samoa,2,70
American Samoa,3,76
Mongolia,1,73
Mongolia,2,68
Mongolia,3,77
Samoa,1,73
Samoa,2,70
Samoa,3,75
Greenland,1,73
Greenland,2,70
Greenland,3,76
Syria,1,72
Syria,2,69
Syria,3,76
Bhutan,1,72
Bhutan,2,71
Bhutan,3,74
Philippines,1,72
Philippines,2,70
Philippines,3,74
Libya,1,72
Libya,2,70
Libya,3,75
Saint Kitts and Nevis,1,72
Saint Kitts and Nevis,2,69
Saint Kitts and Nevis,3,76
Seychelles,1,72
Seychelles,2,68
Seychelles,3,76
Uzbekistan,1,72
Uzbekistan,2,69
Uzbekistan,3,74
Georgia,1,72
Georgia,2,67
Georgia,3,76
Bulgaria,1,72
Bulgaria,2,68
Bulgaria,3,75
El Salvador,1,71
El Salvador,2,67
El Salvador,3,76
Iraq,1,71
Iraq,2,69
Iraq,3,73
Saint Lucia,1,71
Saint Lucia,2,68
Saint Lucia,3,75
Tajikistan,1,71
Tajikistan,2,69
Tajikistan,3,74
Tonga,1,71
Tonga,2,69
Tonga,3,74
Niue,1,71
Niue,2,69
Niue,3,73
Venezuela,1,71
Venezuela,2,67
Venezuela,3,76
Western Sahara,1,71
Western Sahara,2,69
Western Sahara,3,73
Belize,1,71
Belize,2,68
Belize,3,75
Micronesia,1,71
Micronesia,2,67
Micronesia,3,75
Solomon Islands,1,71
Solomon Islands,2,69
Solomon Islands,3,72
Honduras,1,71
Honduras,2,68
Honduras,3,73
Jamaica,1,71
Jamaica,2,69
Jamaica,3,73
Vanuatu,1,70
Vanuatu,2,68
Vanuatu,3,73
Nepal,1,70
Nepal,2,69
Nepal,3,72
Kyrgyzstan,1,70
Kyrgyzstan,2,66
Kyrgyzstan,3,75
Paraguay,1,70
Paraguay,2,68
Paraguay,3,74
Egypt,1,70
Egypt,2,68
Egypt,3,73
Russia,1,70
Russia,2,65
Russia,3,76
Cambodia,1,70
Cambodia,2,67
Cambodia,3,73
Kazakhstan,1,69
Kazakhstan,2,66
Kazakhstan,3,73
Turkmenistan,1,69
Turkmenistan,2,66
Turkmenistan,3,73
Timor-Leste,1,69
Timor-Leste,2,67
Timor-Leste,3,71
Laos,1,69
Laos,2,67
Laos,3,71
Saint Vincent and the Grenadines,1,69
Saint Vincent and the Grenadines,2,67
Saint Vincent and the Grenadines,3,72
Sao Tome and Principe,1,69
Sao Tome and Principe,2,66
Sao Tome and Principe,3,72
Guatemala,1,69
Guatemala,2,66
Guatemala,3,72
Moldova,1,69
Moldova,2,64
Moldova,3,73
Ukraine,1,69
Ukraine,2,64
Ukraine,3,74
Fiji,1,68
Fiji,2,66
