Year,Oil,Gas
1988,4,1
1989,7,1
1990,9,2
1991,4,2
1992,4,1
1993,3,2
1994,3,1
1995,4,1
1996,5,2
1997,4,2
1998,1,1
1999,7,1
2000,14,5
2001,9,8
2002,10,6
2003,10,5
2004,11,3
2005,13,3
2006,12,4
2007,10,3
2008,11,4
2009,8,4
2010,9,3
2011,11,3
2012,10,3
2013,9,3
2014,9,2
2015,5,2
2016,5,1
2017,6,2
2018,10,3
2019,8,2
2020,6,2
