Country Name,Population22,pollution,total
Afghanistan,41128771,58,62
Algeria,44903225,21,77
Angola,35588987,15,61
Argentina,45510318,14,76
Armenia,2780469,25,73
Australia,26177413,8,83
Austria,8939617,12,82
Bahamas,409984,3,74
Bahrain,1472233,46,79
Bangladesh,171186372,83,73
Belgium,11655930,12,82
Bosnia and Herzegovina,3233526,34,75
Brazil,215313498,15,73
Bulgaria,6781953,25,71
Cambodia,16767842,21,69
Canada,38454327,7,82
Chile,19603733,22,79
China,1425887337,39,78
Colombia,51874024,14,73
Costa Rica,5180829,10,77
Croatia,4030358,19,79
Cyprus,1251488,19,81
Czech Republic,10493986,14,78
Denmark,5882261,9,81
DR Congo,99010212,32,59
Ecuador,18001000,8,77
Egypt,110990103,18,70
Estonia,1326062,6,79
Ethiopia,123379924,20,65
Finland,5540745,5,82
France,64626628,12,83
Georgia,3744385,20,71
Germany,83369843,11,80
Ghana,33475870,30,63
Greece,10384971,22,80
Guatemala,17843908,20,68
Hong Kong,7488865,20,84
Hungary,9967308,14,74
Iceland,372899,5,82
India,1417173173,58,67
Indonesia,275501339,51,68
Iran,88550570,24,74
Iraq,44496122,39,71
Ireland,5023109,10,82
Israel,9038309,20,82
Italy,59037474,17,84
Japan,123951692,11,84
Jordan,11285869,18,74
Kazakhstan,19397998,23,69
Kuwait,4268873,38,80
Kyrgyzstan,6630623,33,70
Laos,7529475,23,68
Latvia,1850651,13,75
Lithuania,2750055,14,74
Luxembourg,647599,9,82
Macau,695168,23,85
Malaysia,33938221,19,76
Malta,533286,9,83
Mexico,127504125,20,74
Mongolia,3398366,62,72
Myanmar,54179306,31,67
Nepal,30547580,44,70
Netherlands,17564014,10,82
New Zealand,5185288,7,83
Nigeria,218541212,21,53
North Macedonia,2093599,32,73
Norway,5434319,6,83
Pakistan,235824862,65,66
Peru,34049588,23,73
Philippines,115559009,17,72
Poland,39857145,18,76
Portugal,10270865,9,82
Puerto Rico,3252407,10,79
Romania,19659267,18,74
Russia,144713314,9,70
Saudi Arabia,36408820,22,77
Serbia,7221365,23,74
Singapore,5975689,19,84
Slovakia,5643453,16,75
South Africa,59893885,21,61
South Korea,51815810,24,84
Spain,47558630,9,83
Sri Lanka,21832143,25,76
Sweden,10549347,6,83
Switzerland,8740472,10,84
Syria,22125249,32,72
Taiwan,23893394,17,81
Thailand,71697030,24,79
Turkey,85341241,20,78
Uganda,47249585,29,63
Ukraine,39701739,16,68
United Arab Emirates,9441129,38,79
United Kingdom,67508936,10,82
Uzbekistan,34627652,41,71
Vietnam,98186856,34,74
